CustomerId,Gender,AgeBand,Race,Nationality
107313249975,,,,
608732290522,,,,
757289160869,1,11,6,7
28579283946,,,,
829347618573,2,8,6,7
985153497058,,,,
845550400944,,,,
24102331676,,,,
685757821772,,,,
877172448330,,,,
602285139448,1,9,6,1
468594085973,,,,
455092973615,,,,
425818587558,,,,
661877932972,,,,
349852394482,,,,
6089616775,,,,
780638584090,,,,
851756874206,,,,
116119744148,,,,
177363447504,0,12,6,1
70072762360,,,,
302811714221,2,8,5,7
608136505964,,,,
521091849197,1,11,5,7
135465681293,,,,
105774353562,2,7,5,7
848131300881,1,10,6,7
611752391120,,,,
41559508491,,,,
324591625385,,,,
212232854466,,,,
731370941062,,,,
326771543142,1,10,3,10
465200978506,,,,
647102168627,,,,
675622769132,1,12,1,7
922252461159,,,,
54039407665,1,9,6,7
598397448590,1,9,1,7
548909236542,,,,
386870680533,,,,
51438443882,,,,
979877077974,,,,
107132941606,,,,
51875195621,2,7,5,7
727129402639,,,,
123220422129,,,,
113466507007,1,10,1,2
149612176207,,,,
154540906048,,,,
360848707829,,,,
82890997460,2,8,6,1
828393838801,1,7,6,8
509478240318,2,12,5,7
342672197743,2,8,6,7
218005560323,,,,
864889595349,1,9,6,7
461897813503,0,8,5,7
973516703899,,,,
608452480677,,,,
866895220543,,,,
61404430459,,,,
87788158406,,,,
882642391873,2,7,1,6
514565321548,,,,
412548444319,0,7,6,1
955671313455,2,6,5,6
513478281479,,,,
555624164212,,,,
511960110107,2,8,6,8
917493279294,2,7,6,1
446586392678,,,,
775376073205,2,7,1,7
744521707882,,,,
297962746971,,,,
759493370992,,,,
152848700440,1,6,6,7
208187961378,,,,
355142048006,1,6,1,6
671016470350,,,,
746073108742,,,,
415325530104,,,,
154075848020,,,,
40962795269,,,,
351078874489,1,6,6,7
659695189057,,,,
349915697534,,,,
692030408294,,,,
24618345438,,,,
588066975215,,,,
815183056989,2,8,1,8
667896266820,,,,
394492802723,,,,
238700583433,1,5,6,7
283000866667,,,,
732690405018,,,,
690112579750,,,,
951607900731,,,,
540507991364,2,6,6,1
750545874544,,,,
323691985589,,,,
352010212647,2,7,6,7
786524181369,2,4,6,10
157664507312,,,,
804848527695,,,,
218912072210,,,,
501760693371,,,,
70399591837,,,,
473987868467,2,6,6,7
449233741812,,,,
328250394323,1,5,6,7
727953282856,,,,
448271900683,,,,
314449502498,0,5,6,1
54735679115,2,5,6,7
339431521930,,,,
260807958547,2,8,5,7
645385919982,2,6,5,8
943136081819,2,7,6,7
898893351655,1,6,6,1
742477267714,2,6,6,8
746678209067,2,4,6,1
715788082818,1,5,6,7
677327014583,,,,
194724995323,,,,
604097179969,,,,
108044590169,,,,
784404393325,0,8,6,1
371127287528,2,6,5,8
812998265646,,,,
391368630885,,,,
293119491254,1,7,5,8
63355778816,2,5,1,7
52485374197,2,5,6,7
60772685280,2,5,5,8
823288745822,2,5,6,7
349285142927,2,6,6,1
